2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Pale Ale,Lager,Pale Ale,Brown Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Lager,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Stout,Stout,Stout
Porter,Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Belgian Ale,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Stout,Stout
Lager,Pale Ale,Lager,Pale Ale,Belgian Ale,Stout,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Pale Ale
Pale Ale,Lager,Stout,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Lager,Lager,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout
Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout
Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Belgian Ale,Pale Ale,Pale Ale
Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout,Stout
Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Lager,Belgian Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout,Stout
Pale Ale,Pale Ale,Lager,Lager,Lager,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale
